200 200
Conductor 9 23
Conductor 9 24
Tail 9 25
Conductor 10 22
Conductor 10 23
Tail 10 25
Head 10 26
Conductor 11 22
Head 11 26
Conductor 12 22
Conductor 12 26
Tail 13 21
Tail 13 22
Conductor 13 26
Conductor 13 27
Head 14 21
Conductor 14 27
Conductor 14 28
Conductor 15 21
Conductor 15 29
Conductor 16 21
Conductor 16 29
Conductor 16 30
Conductor 17 21
Conductor 17 30
Conductor 18 21
Conductor 18 30
Conductor 19 20
Conductor 19 29
Conductor 20 20
Conductor 20 29
Conductor 21 20
Conductor 21 29
Conductor 22 21
Conductor 22 22
Conductor 22 28
Conductor 22 29
Conductor 23 22
Conductor 23 28
Conductor 24 22
Conductor 24 23
Conductor 24 28
Conductor 25 23
Conductor 25 24
Conductor 25 25
Conductor 25 26
Conductor 25 27
Conductor 25 28
